source,ts,host,proc,pid,event,user,ip,port,tag,detail,raw
auth,2026-09-04T11:00:44.430584+08:00,iZj6c5wznxkbnx0qzivylsZ,sshd-session,1808,CONN_CLOSED,,108.95.165.39,50470,[preauth],SSH 连接关闭（扫描器 preauth 特征）,2026-09-04T11:00:44.430584+08:00 iZj6c5wznxkbnx0qzivylsZ sshd-session[1808]: Connection closed by 108.95.165.39 port 50470 [preauth]
auth,2026-09-04T11:00:51.074465+08:00,iZj6c5wznxkbnx0qzivylsZ,sshd-session,1810,CONN_CLOSED,,108.95.165.39,32844,[preauth],SSH 连接关闭（扫描器 preauth 特征）,2026-09-04T11:00:51.074465+08:00 iZj6c5wznxkbnx0qzivylsZ sshd-session[1810]: Connection closed by 108.95.165.39 port 32844 [preauth]
auth,2026-09-04T11:00:57.508250+08:00,iZj6c5wznxkbnx0qzivylsZ,sshd-session,1812,CONN_CLOSED,,108.95.165.39,32848,[preauth],SSH 连接关闭（扫描器 preauth 特征）,2026-09-04T11:00:57.508250+08:00 iZj6c5wznxkbnx0qzivylsZ sshd-session[1812]: Connection closed by 108.95.165.39 port 32848 [preauth]
auth,2026-09-04T11:01:04.057131+08:00,iZj6c5wznxkbnx0qzivylsZ,sshd-session,1814,CONN_CLOSED,,108.95.165.39,38634,[preauth],SSH 连接关闭（扫描器 preauth 特征）,2026-09-04T11:01:04.057131+08:00 iZj6c5wznxkbnx0qzivylsZ sshd-session[1814]: Connection closed by 108.95.165.39 port 38634 [preauth]
auth,2026-09-04T11:01:10.458672+08:00,iZj6c5wznxkbnx0qzivylsZ,sshd-session,1816,CONN_CLOSED,,108.95.165.39,47630,[preauth],SSH 连接关闭（扫描器 preauth 特征）,2026-09-04T11:01:10.458672+08:00 iZj6c5wznxkbnx0qzivylsZ sshd-session[1816]: Connection closed by 108.95.165.39 port 47630 [preauth]
auth,2026-09-04T11:01:17.083774+08:00,iZj6c5wznxkbnx0qzivylsZ,sshd-session,1818,CONN_CLOSED,,108.95.165.39,47632,[preauth],SSH 连接关闭（扫描器 preauth 特征）,2026-09-04T11:01:17.083774+08:00 iZj6c5wznxkbnx0qzivylsZ sshd-session[1818]: Connection closed by 108.95.165.39 port 47632 [preauth]
auth,2026-09-04T11:01:23.430523+08:00,iZj6c5wznxkbnx0qzivylsZ,sshd-session,1825,CONN_CLOSED,,108.95.165.39,48266,[preauth],SSH 连接关闭（扫描器 preauth 特征）,2026-09-04T11:01:23.430523+08:00 iZj6c5wznxkbnx0qzivylsZ sshd-session[1825]: Connection closed by 108.95.165.39 port 48266 [preauth]
auth,2026-09-04T11:01:29.988120+08:00,iZj6c5wznxkbnx0qzivylsZ,sshd-session,1827,CONN_CLOSED,,108.95.165.39,42942,[preauth],SSH 连接关闭（扫描器 preauth 特征）,2026-09-04T11:01:29.988120+08:00 iZj6c5wznxkbnx0qzivylsZ sshd-session[1827]: Connection closed by 108.95.165.39 port 42942 [preauth]
auth,2026-09-04T11:01:36.479319+08:00,iZj6c5wznxkbnx0qzivylsZ,sshd-session,1829,CONN_CLOSED,,108.95.165.39,42950,[preauth],SSH 连接关闭（扫描器 preauth 特征）,2026-09-04T11:01:36.479319+08:00 iZj6c5wznxkbnx0qzivylsZ sshd-session[1829]: Connection closed by 108.95.165.39 port 42950 [preauth]
auth,2026-09-04T11:01:43.085915+08:00,iZj6c5wznxkbnx0qzivylsZ,sshd-session,1831,CONN_CLOSED,,108.95.165.39,34040,[preauth],SSH 连接关闭（扫描器 preauth 特征）,2026-09-04T11:01:43.085915+08:00 iZj6c5wznxkbnx0qzivylsZ sshd-session[1831]: Connection closed by 108.95.165.39 port 34040 [preauth]
auth,2026-09-04T11:01:49.466454+08:00,iZj6c5wznxkbnx0qzivylsZ,sshd-session,1833,CONN_CLOSED,,108.95.165.39,47998,[preauth],SSH 连接关闭（扫描器 preauth 特征）,2026-09-04T11:01:49.466454+08:00 iZj6c5wznxkbnx0qzivylsZ sshd-session[1833]: Connection closed by 108.95.165.39 port 47998 [preauth]
auth,2026-09-04T11:01:55.977983+08:00,iZj6c5wznxkbnx0qzivylsZ,sshd-session,1835,CONN_CLOSED,,108.95.165.39,48014,[preauth],SSH 连接关闭（扫描器 preauth 特征）,2026-09-04T11:01:55.977983+08:00 iZj6c5wznxkbnx0qzivylsZ sshd-session[1835]: Connection closed by 108.95.165.39 port 48014 [preauth]
auth,2026-09-04T11:02:02.556491+08:00,iZj6c5wznxkbnx0qzivylsZ,sshd-session,1837,CONN_CLOSED,,108.95.165.39,53574,[preauth],SSH 连接关闭（扫描器 preauth 特征）,2026-09-04T11:02:02.556491+08:00 iZj6c5wznxkbnx0qzivylsZ sshd-session[1837]: Connection closed by 108.95.165.39 port 53574 [preauth]
